id,name,alias,positions,damageType,attackType,championTags,cdRoles,wikiRoles,allyHealing,attackSpeed,crit,hybridAsOh
1,annie,annie,['middle'],kMagic,ranged,"['summon', 'burst']","['mage', 'support']",['burst'],False,False,False,False
2,olaf,olaf,['top'],kPhysical,melee,"['duelist', 'self healing']","['fighter', 'tank']",['diver'],False,True,False,False
3,galio,galio,['middle'],kMagic,melee,"['battlecaster', 'crowd control']","['tank', 'mage']",['warden'],False,False,True,False
4,twisted fate,twistedfate,"['middle', 'bottom']",kMagic,ranged,"['burst', 'auto-attack']","['mage', 'marksman']",['burst'],False,True,True,True
5,xin zhao,xinzhao,['jungle'],kPhysical,melee,"['', '']","['fighter', 'tank']",['diver'],False,True,True,True
6,urgot,urgot,['top'],kPhysical,ranged,"['duelist', 'sustained damage']","['fighter', 'tank']",['juggernaut'],False,False,False,False
7,leblanc,leblanc,['middle'],kMagic,ranged,"['burst', 'mobile']","['assassin', 'mage']","['burst', 'assassin']",False,False,False,False
8,vladimir,vladimir,['middle'],kMagic,ranged,"['self healing', 'battlecaster']","['mage', 'fighter']",['battlemage'],False,False,False,False
9,fiddlesticks,fiddlesticks,['jungle'],kMagic,ranged,"['self healing', 'aoe']","['mage', 'support']",['specialist'],False,False,False,False
10,kayle,kayle,['top'],kMagic,melee,"['hypercarry', 'auto-attack']","['mage', 'marksman']",['specialist'],True,True,False,True
11,master yi,masteryi,['jungle'],kPhysical,melee,"['auto-attack', 'hypercarry']","['fighter', 'assassin']",['skirmisher'],False,True,True,True
12,alistar,alistar,['support'],kMagic,melee,"['crowd control', 'initiator']","['tank', 'support']",['vanguard'],True,False,False,False
13,ryze,ryze,['middle'],kMagic,ranged,"['battlecaster', 'sustained damage']",['mage'],['battlemage'],False,False,False,False
14,sion,sion,['top'],kPhysical,melee,"['durable', 'crowd control']","['tank', 'fighter']",['vanguard'],False,False,False,False
15,sivir,sivir,['bottom'],kPhysical,ranged,"['aoe', 'auto-attack']",['marksman'],['marksman'],False,True,True,False
16,soraka,soraka,['support'],kMagic,ranged,"['ally protection', 'crowd control']","['support', 'mage']",['enchanter'],True,False,False,False
17,teemo,teemo,['top'],kMagic,ranged,"['damage-over-time', 'stealth']","['marksman', 'mage']",['specialist'],False,True,False,True
18,tristana,tristana,['bottom'],kPhysical,ranged,"['mobile', 'auto-attack']","['marksman', 'assassin']",['marksman'],False,True,True,True
19,warwick,warwick,['jungle'],kMixed,melee,"['self healing', 'duelist']","['fighter', 'tank']",['diver'],False,True,False,True
20,nunu & willump,nunu,['jungle'],kMagic,melee,"['initiator', 'battlecaster']","['tank', 'mage']",['vanguard'],False,False,False,False
21,miss fortune,missfortune,['bottom'],kPhysical,ranged,"['aoe', 'burst']","['marksman', 'mage']",['marksman'],False,True,True,False
22,ashe,ashe,"['bottom', 'support']",kPhysical,ranged,"['auto-attack', 'crowd control']","['marksman', 'support']",['marksman'],False,True,True,True
23,tryndamere,tryndamere,['top'],kPhysical,melee,"['duelist', 'auto-attack']","['fighter', 'assassin']",['skirmisher'],False,False,False,False
24,jax,jax,"['top', 'jungle']",kPhysical,melee,"['duelist', 'auto-attack']",['fighter'],['skirmisher'],False,True,False,True
25,morgana,morgana,"['support', 'middle']",kMagic,ranged,"['crowd control', 'ally protection']","['support', 'mage']",['catcher'],False,False,False,False
26,zilean,zilean,['support'],kMagic,ranged,"['crowd control', 'ally protection']","['support', 'mage']",['specialist'],True,False,False,False
27,singed,singed,['top'],kMagic,melee,"['battlecaster', 'damage-over-time']","['tank', 'mage']",['specialist'],False,False,False,False
28,evelynn,evelynn,['jungle'],kMagic,melee,"['stealth', 'burst']","['assassin', 'mage']",['assassin'],False,False,False,False
29,twitch,twitch,['bottom'],kPhysical,ranged,"['hypercarry', 'stealth']","['marksman', 'assassin']",['marksman'],False,True,True,True
30,karthus,karthus,['jungle'],kMagic,ranged,"['aoe', 'sustained damage']",['mage'],['battlemage'],False,False,False,False
31,cho'gath,chogath,['top'],kMagic,melee,"['durable', 'crowd control']","['tank', 'mage']",['specialist'],False,False,False,False
32,amumu,amumu,['jungle'],kMagic,melee,"['crowd control', 'initiator']","['tank', 'support']",['vanguard'],False,False,False,False
33,rammus,rammus,['jungle'],kMagic,melee,"['mobile', 'crowd control']",['tank'],['vanguard'],False,False,False,False
34,anivia,anivia,['middle'],kMagic,ranged,"['aoe', 'crowd control']",['mage'],['battlemage'],False,False,False,False
35,shaco,shaco,['jungle'],kMixed,melee,"['stealth', 'summon']",['assassin'],['assassin'],False,False,True,False
36,dr. mundo,drmundo,['top'],kMixed,melee,"['durable', 'self healing']","['tank', 'fighter']",['juggernaut'],False,False,False,False
37,sona,sona,['support'],kMagic,ranged,"['ally protection', 'crowd control']","['support', 'mage']",['enchanter'],True,False,False,False
38,kassadin,kassadin,['middle'],kMagic,melee,"['hypercarry', 'mobile']","['assassin', 'mage']",['assassin'],False,False,False,False
39,irelia,irelia,"['top', 'middle']",kPhysical,melee,"['mobile', 'duelist']","['fighter', 'assassin']",['diver'],False,True,False,True
40,janna,janna,['support'],kMagic,ranged,"['crowd control', 'ally protection']","['support', 'mage']",['enchanter'],True,False,False,False
41,gangplank,gangplank,['top'],kPhysical,melee,"['aoe', 'burst']",['fighter'],['specialist'],False,False,True,False
42,corki,corki,['middle'],kPhysical,ranged,"['auto-attack', 'aoe']","['marksman', 'mage']",['marksman'],False,False,True,False
43,karma,karma,"['middle', 'support']",kMagic,ranged,"['ally protection', 'aoe']","['mage', 'support']","['burst', 'enchanter']",False,False,False,False
44,taric,taric,['support'],kMagic,melee,"['durable', 'ally protection']","['support', 'tank']","['enchanter', 'warden']",True,True,False,False
45,veigar,veigar,['middle'],kMagic,ranged,"['hypercarry', 'burst']",['mage'],['burst'],False,False,False,False
48,trundle,trundle,['top'],kPhysical,melee,"['duelist', 'self healing']","['fighter', 'tank']",['juggernaut'],False,True,False,False
