champ_id,item_ids
1,"['2065', '2503', '2522', '3003', '3041', '3089', '3102', '3116', '3118', '3135', '3137', '3152', '3157', '3165', '3869', '3870', '3871', '4645', '4646', '6620', '6653', '6655', '6657']"
2,"['2501', '2512', '2517', '2524', '3031', '3033', '3036', '3046', '3053', '3065', '3071', '3073', '3074', '3075', '3078', '3143', '3153', '3156', '3181', '3742', '4401', '6333', '6610', '6631', '6665', '6673']"
3,"['2504', '2524', '2525', '3041', '3068', '3075', '3084', '3089', '3100', '3107', '3109', '3110', '3135', '3137', '3143', '3152', '3157', '3165', '3190', '3869', '3876', '4633', '4645', '4646', '6653', '6655', '6657', '6664', '6665', '8010', '8020']"
4,"['2065', '2510', '3031', '3041', '3089', '3094', '3100', '3102', '3124', '3135', '3137', '3152', '3153', '3157', '3165', '3508', '3742', '3876', '3877', '4645', '4646', '6655', '6657', '6672']"
5,"['2504', '2510', '2512', '2517', '3031', '3033', '3036', '3053', '3065', '3071', '3075', '3078', '3110', '3143', '3153', '3156', '3508', '3748', '6333', '6609', '6610', '6631', '6673', '6676', '6692', '6695', '6699']"
6,"['2501', '2504', '2517', '2520', '3053', '3071', '3075', '3142', '3143', '3161', '3181', '3742', '3748', '4401', '6609', '6631', '6665', '6695', '6698']"
7,"['3041', '3089', '3102', '3118', '3135', '3137', '3146', '3157', '3165', '3869', '3871', '4628', '4645', '4646', '6655']"
8,"['3041', '3089', '3135', '3137', '3152', '3157', '3165', '4628', '4629', '4633', '4645', '4646', '6653']"
9,"['2503', '2522', '2524', '3002', '3041', '3050', '3089', '3102', '3110', '3116', '3118', '3135', '3137', '3152', '3157', '3165', '3190', '3869', '3871', '3876', '4645', '4646', '6653', '8010', '8020']"
10,"['2510', '3041', '3089', '3100', '3102', '3115', '3116', '3124', '3135', '3146', '3153', '3157', '3302', '4645', '6672']"
