id,name,stats
2065,Shurelya's Battlesong,"['SpellDamage', 'ManaRegen', 'Active', 'CooldownReduction', 'NonbootsMovement', 'AbilityHaste']"
2501,Overlord's Bloodmail,"['Health', 'Damage']"
2502,Unending Despair,"['Health', 'Armor', 'CooldownReduction', 'AbilityHaste']"
2503,Blackfire Torch,"['SpellDamage', 'Mana', 'CooldownReduction', 'AbilityHaste']"
2504,Kaenic Rookern,"['Health', 'SpellBlock', 'HealthRegen']"
2510,Dusk and Dawn,"['Health', 'AttackSpeed', 'SpellDamage', 'OnHit', 'AbilityHaste']"
2512,Fiendhunter Bolts,"['CriticalStrike', 'AttackSpeed', 'NonbootsMovement', 'AbilityHaste']"
2517,Endless Hunger,"['Damage', 'LifeSteal', 'SpellVamp', 'Tenacity', 'AbilityHaste']"
2520,Bastionbreaker,"['Damage', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
2522,Actualizer,"['SpellDamage', 'Mana', 'AbilityHaste']"
2523,Hexoptics C44,"['Damage', 'CriticalStrike']"
2524,Bandlepipes,"['Health', 'SpellBlock', 'Armor', 'AttackSpeed', 'NonbootsMovement', 'AbilityHaste']"
2525,Protoplasm Harness,"['Health', 'NonbootsMovement', 'Tenacity', 'AbilityHaste']"
3002,Trailblazer,"['Health', 'Armor', 'NonbootsMovement']"
3003,Archangel's Staff,"['SpellDamage', 'Mana', 'AbilityHaste']"
3004,Manamune,"['Damage', 'Mana', 'CooldownReduction', 'OnHit', 'AbilityHaste']"
3005,Ghostcrawlers,['Boots']
3026,Guardian Angel,"['Armor', 'Damage']"
3031,Infinity Edge,"['CriticalStrike', 'Damage']"
3032,Yun Tal Wildarrows,"['Damage', 'CriticalStrike', 'AttackSpeed']"
3033,Mortal Reminder,"['Damage', 'CriticalStrike', 'ArmorPenetration', 'GrievousWounds']"
3036,Lord Dominik's Regards,"['Damage', 'CriticalStrike', 'ArmorPenetration']"
3039,Atma's Reckoning,"['Health', 'CriticalStrike']"
3041,Mejai's Soulstealer,"['Health', 'SpellDamage', 'NonbootsMovement']"
3046,Phantom Dancer,"['CriticalStrike', 'AttackSpeed', 'NonbootsMovement']"
3050,Zeke's Convergence,"['Health', 'SpellBlock', 'Armor', 'AbilityHaste']"
3053,Sterak's Gage,"['Health', 'Damage', 'Tenacity']"
3065,Spirit Visage,"['Health', 'SpellBlock', 'HealthRegen', 'CooldownReduction', 'AbilityHaste']"
3068,Sunfire Aegis,"['Health', 'Armor', 'Aura', 'AbilityHaste']"
3071,Black Cleaver,"['Health', 'Damage', 'CooldownReduction', 'OnHit', 'NonbootsMovement', 'ArmorPenetration', 'AbilityHaste']"
3072,Bloodthirster,"['Damage', 'LifeSteal', 'Shield']"
3073,Experimental Hexplate,"['Health', 'Damage', 'AttackSpeed', 'CooldownReduction', 'NonbootsMovement', 'AbilityHaste']"
3074,Ravenous Hydra,"['Damage', 'LifeSteal', 'CooldownReduction', 'OnHit', 'AbilityHaste']"
3075,Thornmail,"['Health', 'Armor']"
3078,Trinity Force,"['Health', 'Damage', 'AttackSpeed', 'CooldownReduction', 'OnHit', 'NonbootsMovement', 'AbilityHaste']"
3083,Warmog's Armor,"['Health', 'HealthRegen']"
3084,Heartsteel,"['Health', 'HealthRegen']"
3085,Runaan's Hurricane,"['CriticalStrike', 'AttackSpeed', 'OnHit', 'NonbootsMovement']"
3087,Statikk Shiv,"['Damage', 'AttackSpeed', 'OnHit', 'NonbootsMovement']"
3089,Rabadon's Deathcap,['SpellDamage']
3091,Wit's End,"['SpellBlock', 'AttackSpeed', 'OnHit', 'Tenacity']"
3094,Rapid Firecannon,"['CriticalStrike', 'AttackSpeed', 'NonbootsMovement']"
3095,Stormrazor,"['Damage', 'CriticalStrike', 'AttackSpeed', 'NonbootsMovement']"
3097,Stormrazor,"['Damage', 'CriticalStrike', 'AttackSpeed', 'NonbootsMovement']"
3100,Lich Bane,"['SpellDamage', 'OnHit', 'NonbootsMovement', 'AbilityHaste']"
3102,Banshee's Veil,"['SpellBlock', 'SpellDamage']"
3107,Redemption,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
3109,Knight's Vow,"['Health', 'HealthRegen', 'Armor', 'Aura', 'Active', 'CooldownReduction', 'AbilityHaste']"
3110,Frozen Heart,"['Armor', 'Mana', 'Aura', 'CooldownReduction', 'AbilityHaste', 'AttackSpeedReduction']"
3115,Nashor's Tooth,"['AttackSpeed', 'SpellDamage', 'OnHit', 'AbilityHaste']"
3116,Rylai's Crystal Scepter,"['Health', 'SpellDamage', 'Slow']"
3118,Malignance,"['SpellDamage', 'Mana', 'AbilityHaste']"
3119,Winter's Approach,"['Health', 'Mana', 'AbilityHaste']"
3124,Guinsoo's Rageblade,"['Damage', 'AttackSpeed', 'SpellDamage', 'OnHit']"
3128,Deathfire Grasp,"['SpellDamage', 'CooldownReduction']"
3131,Sword of the Divine,"['Damage', 'CriticalStrike', 'AttackSpeed', 'Lethality']"
3135,Void Staff,"['MagicPenetration', 'SpellDamage', 'PercentMagicPenetration']"
3137,Cryptbloom,"['SpellDamage', 'MagicPenetration', 'AbilityHaste', 'PercentMagicPenetration']"
3139,Mercurial Scimitar,"['SpellBlock', 'Damage', 'LifeSteal', 'Active', 'NonbootsMovement', 'Tenacity']"
3142,Youmuu's Ghostblade,"['Damage', 'Active', 'NonbootsMovement', 'ArmorPenetration', 'Lethality']"
3143,Randuin's Omen,"['Health', 'Armor', 'Active', 'Slow', 'CriticalStrikeReduction']"
3146,Hextech Gunblade,"['Damage', 'LifeSteal', 'SpellDamage', 'Active', 'SpellVamp']"
3152,Hextech Rocketbelt,"['Health', 'SpellDamage', 'Active', 'CooldownReduction', 'NonbootsMovement', 'AbilityHaste']"
3153,Blade of The Ruined King,"['Damage', 'AttackSpeed', 'LifeSteal', 'Slow', 'OnHit']"
3156,Maw of Malmortius,"['SpellBlock', 'Damage', 'LifeSteal', 'SpellVamp', 'AbilityHaste']"
3157,Zhonya's Hourglass,"['Armor', 'SpellDamage', 'Active']"
3161,Spear of Shojin,"['Health', 'Damage', 'AbilityHaste']"
3165,Morellonomicon,"['Health', 'SpellDamage', 'CooldownReduction', 'AbilityHaste', 'GrievousWounds']"
3170,Swiftmarch,['Boots']
3171,Crimson Lucidity,"['CooldownReduction', 'Boots']"
3172,Gunmetal Greaves,"['AttackSpeed', 'LifeSteal', 'NonbootsMovement']"
3173,Chainlaced Crushers,"['SpellBlock', 'Boots', 'Tenacity', 'MagicResist', 'Shield']"
3174,Armored Advance,"['Armor', 'Boots', 'Shield']"
3175,Spellslinger's Shoes,"['Boots', 'MagicPenetration', 'PercentMagicPenetration']"
3179,Umbral Glaive,"['Damage', 'Vision', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste', 'Lethality']"
3181,Hullbreaker,"['Health', 'Damage', 'NonbootsMovement']"
3190,Locket of the Iron Solari,"['Health', 'SpellBlock', 'Armor', 'Aura', 'Active', 'MagicResist', 'AbilityHaste']"
3222,Mikael's Blessing,"['Health', 'ManaRegen', 'Active', 'CooldownReduction', 'Tenacity', 'AbilityHaste']"
3302,Terminus,"['Damage', 'AttackSpeed', 'OnHit', 'MagicPenetration', 'ArmorPenetration', 'FlatMagicPenetration']"
3504,Ardent Censer,"['AttackSpeed', 'SpellDamage', 'ManaRegen', 'NonbootsMovement']"
3508,Essence Reaver,"['Damage', 'CriticalStrike', 'ManaRegen', 'CooldownReduction', 'OnHit', 'AbilityHaste']"
3742,Dead Man's Plate,"['Health', 'Armor', 'Slow', 'NonbootsMovement']"
3748,Titanic Hydra,"['Health', 'HealthRegen', 'Damage', 'OnHit']"
3814,Edge of Night,"['Health', 'Damage', 'ArmorPenetration', 'Lethality']"
3869,Celestial Opposition,"['Health', 'HealthRegen', 'ManaRegen', 'Vision', 'GoldPer', 'Lane']"
3870,Dream Maker,"['Health', 'HealthRegen', 'ManaRegen', 'Vision', 'GoldPer', 'Lane']"
3871,Zaz'Zak's Realmspike,"['Health', 'HealthRegen', 'ManaRegen', 'Vision', 'GoldPer', 'Lane']"
3876,Solstice Sleigh,"['Health', 'HealthRegen', 'ManaRegen', 'Vision', 'GoldPer', 'Lane']"
3877,Bloodsong,"['Health', 'HealthRegen', 'ManaRegen', 'Vision', 'GoldPer', 'Lane']"
4004,Spectral Cutlass,"['Damage', 'NonbootsMovement', 'ArmorPenetration', 'Lethality']"
4005,Imperial Mandate,"['SpellDamage', 'ManaRegen', 'CooldownReduction', 'AbilityHaste']"
4401,Force of Nature,"['Health', 'SpellBlock', 'NonbootsMovement']"
4402,Innervating Locket,"['Health', 'Damage', 'Mana', 'CooldownReduction', 'AbilityHaste']"
4403,The Golden Spatula,"['Health', 'SpellBlock', 'HealthRegen', 'Armor', 'Damage', 'CriticalStrike', 'AttackSpeed', 'LifeSteal', 'SpellDamage', 'Mana', 'ManaRegen', 'CooldownReduction', 'NonbootsMovement']"
4628,Horizon Focus,"['SpellDamage', 'AbilityHaste']"
4629,Cosmic Drive,"['Health', 'SpellDamage', 'NonbootsMovement', 'AbilityHaste']"
4633,Riftmaker,"['Health', 'SpellDamage', 'CooldownReduction', 'SpellVamp']"
