id,name,alias,counters
1,annie,annie,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
2,olaf,olaf,"['GrievousWounds', 'ArmorPenetration']"
3,galio,galio,"[{'Tenacity': 'cc1'}, 'CriticalStrikeReduction', 'ArmorPenetration', 'PercentMagicPenetration']"
4,twisted fate,twistedfate,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}, 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
5,xin zhao,xinzhao,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'ArmorPenetration']"
6,urgot,urgot,"['ArmorPenetration', 'Armor-Health']"
7,leblanc,leblanc,"['SpellBlock', 'Shield', {'Tenacity': 'cc1'}]"
8,vladimir,vladimir,"['GrievousWounds', 'SpellBlock', 'Shield']"
9,fiddlesticks,fiddlesticks,"['GrievousWounds', {'Tenacity': 'cc1'}]"
10,kayle,kayle,"['GrievousWounds', 'AttackSpeedReduction']"
11,master yi,masteryi,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction']"
12,alistar,alistar,"['GrievousWounds', {'Tenacity': 'cc2'}, 'ArmorPenetration', 'PercentMagicPenetration']"
13,ryze,ryze,"['SpellBlock', 'Shield', 'SpellBlock-Health']"
14,sion,sion,"[{'Tenacity': 'cc2'}, 'ArmorPenetration']"
15,sivir,sivir,"['AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
16,soraka,soraka,['GrievousWounds']
17,teemo,teemo,"[{'Tenacity': 'cc2'}, 'AttackSpeedReduction', 'SpellBlock-Health']"
18,tristana,tristana,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
19,warwick,warwick,"['GrievousWounds', 'AttackSpeedReduction', 'ArmorPenetration', 'PercentMagicPenetration']"
20,nunu & willump,nunu,"['ArmorPenetration', 'PercentMagicPenetration']"
21,miss fortune,missfortune,"['Armor', 'Shield', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
22,ashe,ashe,"[{'Tenacity': 'cc1'}, 'AttackSpeedReduction', 'Lethality', 'FlatMagicPenetration']"
23,tryndamere,tryndamere,"['Armor', 'Shield', 'AttackSpeedReduction']"
24,jax,jax,['AttackSpeedReduction']
25,morgana,morgana,[{'Tenacity': 'cc1'}]
26,zilean,zilean,[{'Tenacity': 'cc1'}]
27,singed,singed,"['ArmorPenetration', 'PercentMagicPenetration', 'SpellBlock-Health']"
28,evelynn,evelynn,"['SpellBlock', 'Shield', {'Tenacity': 'cc2'}]"
29,twitch,twitch,"['Armor', 'Shield', 'AttackSpeedReduction', 'CriticalStrikeReduction', 'Lethality', 'FlatMagicPenetration']"
30,karthus,karthus,"['SpellBlock', 'Shield', 'SpellBlock-Health']"
